iter	Passed	Remaining
0	57	57843
1	58	29047
2	58	19553
3	59	14727
4	59	11832
5	59	9895
6	60	8518
7	60	7479
8	60	6685
9	61	6041
10	61	5514
11	61	5078
12	61	4703
13	62	4382
14	62	4103
15	62	3860
16	63	3645
17	63	3458
18	63	3286
19	63	3133
20	64	2993
21	64	2866
22	64	2750
23	65	2644
24	65	2546
25	65	2456
26	65	2372
27	66	2294
28	66	2221
29	66	2154
30	66	2090
31	67	2032
32	67	1976
33	67	1924
34	67	1873
35	68	1828
36	68	1784
37	68	1742
38	69	1701
39	69	1663
40	69	1627
41	69	1593
42	70	1563
43	70	1533
44	70	1503
45	71	1475
46	71	1450
47	71	1423
48	72	1397
49	72	1373
50	72	1349
51	72	1326
52	73	1304
53	73	1283
54	73	1262
55	73	1242
56	73	1223
57	74	1205
58	74	1187
59	74	1169
60	74	1153
61	75	1137
62	75	1121
63	75	1106
64	75	1092
65	76	1078
66	76	1065
67	76	1051
68	76	1038
69	77	1026
70	77	1013
71	77	1001
72	77	990
73	78	978
74	78	967
75	78	956
76	78	945
77	79	935
78	79	925
79	79	914
80	79	905
81	80	895
82	80	885
83	80	876
84	80	868
85	80	859
86	81	851
87	81	843
88	81	835
89	81	827
90	82	819
91	82	813
92	82	806
93	82	799
94	83	791
95	83	785
96	83	778
97	83	771
98	84	765
99	84	759
100	84	753
101	84	746
102	85	740
103	85	734
104	85	728
105	85	723
106	85	717
107	86	712
108	86	707
109	86	702
110	87	697
111	87	693
112	87	688
113	87	683
114	88	679
115	88	674
116	88	669
117	88	664
118	89	660
119	89	655
120	89	651
121	89	646
122	90	641
123	90	638
124	90	634
125	90	629
126	90	625
127	91	621
128	91	617
129	91	613
130	91	610
131	92	606
132	92	602
133	92	598
134	92	595
135	93	591
136	93	588
137	93	584
138	93	581
139	94	577
140	94	574
141	94	570
142	94	567
143	94	563
144	95	560
145	95	557
146	95	554
147	95	551
148	95	548
149	96	545
150	96	542
151	96	539
152	96	536
153	97	533
154	97	530
155	97	528
156	97	525
157	98	522
158	98	519
159	98	517
160	98	513
161	98	511
162	99	509
163	99	506
164	99	503
165	99	501
166	100	499
167	100	496
168	100	494
169	100	491
170	101	489
171	101	487
172	101	485
173	101	482
174	101	480
175	102	478
176	102	476
177	102	474
178	102	471
179	103	469
180	103	467
181	103	465
182	103	463
183	104	461
184	104	459
185	104	457
186	104	455
187	104	453
188	105	451
189	105	449
190	105	448
191	106	446
192	106	444
193	106	442
194	106	440
195	107	438
196	107	437
197	107	435
198	107	433
199	107	431
200	108	430
201	108	428
202	108	426
203	108	424
204	109	422
205	109	420
206	109	419
207	109	417
208	109	415
209	110	414
210	110	412
211	110	410
212	110	409
213	111	407
214	111	406
215	111	404
216	111	402
217	111	401
218	112	399
219	112	397
220	112	396
221	112	394
222	112	393
223	113	391
224	113	390
225	113	388
226	113	387
227	114	386
228	114	384
229	114	383
230	114	382
231	114	380
232	115	379
233	115	377
234	115	376
235	115	374
236	116	373
237	116	372
238	116	370
239	116	369
240	116	368
241	117	366
242	117	365
243	117	364
244	117	363
245	118	361
246	118	360
247	118	359
248	118	357
249	118	356
250	119	355
251	119	354
252	119	353
253	119	352
254	120	351
255	120	349
256	120	348
257	120	347
258	121	346
259	121	345
260	121	344
261	121	343
262	122	342
263	122	341
264	122	339
265	122	338
266	122	337
267	123	336
268	123	335
269	123	334
270	123	333
271	124	332
272	124	331
273	124	330
274	124	329
275	125	328
276	125	327
277	125	326
278	125	325
279	126	324
280	126	323
281	126	322
282	126	321
283	127	320
284	127	319
285	127	318
286	127	317
287	128	316
288	128	315
289	128	314
290	128	313
291	129	312
292	129	311
293	129	311
294	129	310
295	130	309
296	130	308
297	130	307
298	130	306
299	130	305
300	131	304
301	131	303
302	131	302
303	131	301
304	131	300
305	132	299
306	132	299
307	132	298
308	132	297
309	133	296
310	133	295
311	133	294
312	133	293
313	134	293
314	134	292
315	134	291
316	134	290
317	135	289
318	135	288
319	135	287
320	135	287
321	136	286
322	136	285
323	136	284
324	136	283
325	136	283
326	137	282
327	137	281
328	137	280
329	137	279
330	138	279
331	138	278
332	138	277
333	138	276
334	139	275
335	139	275
336	139	274
337	139	273
338	139	272
339	140	271
340	140	271
341	140	270
342	140	269
343	140	268
344	141	268
345	141	267
346	141	266
347	142	266
348	142	265
349	142	264
350	142	263
351	143	263
352	143	262
353	143	261
354	143	261
355	144	260
356	144	259
357	144	259
358	144	258
359	144	257
360	145	257
361	145	256
362	145	255
363	146	255
364	146	254
365	146	253
366	146	253
367	146	252
368	147	251
369	147	251
370	147	250
371	147	249
372	148	249
373	148	248
374	148	247
375	148	247
376	149	246
377	149	245
378	149	245
379	149	244
380	150	243
381	150	243
382	150	242
383	150	241
384	151	241
385	151	240
386	151	239
387	151	239
388	151	238
389	152	238
390	152	237
391	152	236
392	152	236
393	153	235
394	153	234
395	153	234
396	153	233
397	153	232
398	154	232
399	154	231
400	154	230
401	154	230
402	155	229
403	155	229
404	155	228
405	155	227
406	155	227
407	156	226
408	156	225
409	156	225
410	156	224
411	156	223
412	157	223
413	157	222
414	157	222
415	157	221
416	157	220
417	158	220
418	158	219
419	158	218
420	158	218
421	158	217
422	159	217
423	159	216
424	159	215
425	159	215
426	159	214
427	160	214
428	160	213
429	160	212
430	160	212
431	161	211
432	161	211
433	161	210
434	161	210
435	162	209
436	162	209
437	162	208
438	162	208
439	163	207
440	163	206
441	163	206
442	163	205
443	164	205
444	164	204
445	164	204
446	164	203
447	165	203
448	165	202
449	165	202
450	165	201
451	166	201
452	166	200
453	166	200
454	166	199
455	166	199
456	167	198
457	167	198
458	167	197
459	168	197
460	168	196
461	168	196
462	168	195
463	168	195
464	169	194
465	169	194
466	169	193
467	169	193
468	170	192
469	170	192
470	170	191
471	170	191
472	171	190
473	171	190
474	171	189
475	171	188
476	171	188
477	172	187
478	172	187
479	172	186
480	172	186
481	172	185
482	173	185
483	173	184
484	173	184
485	173	183
486	173	183
487	174	182
488	174	182
489	174	181
490	174	181
491	174	180
492	175	180
493	175	179
494	175	179
495	175	178
496	176	178
497	176	177
498	176	177
499	176	176
500	177	176
501	177	175
502	177	175
503	177	174
504	177	174
505	178	174
506	178	173
507	178	173
508	178	172
509	179	172
510	179	171
511	179	171
512	179	170
513	180	170
514	180	169
515	180	169
516	180	168
517	181	168
518	181	167
519	181	167
520	181	167
521	181	166
522	182	166
523	182	165
524	182	165
525	182	164
526	183	164
527	183	163
528	183	163
529	183	163
530	184	162
531	184	162
532	184	161
533	184	161
534	185	160
535	185	160
536	185	159
537	185	159
538	185	159
539	186	158
540	186	158
541	186	157
542	186	157
543	187	156
544	187	156
545	187	155
546	187	155
547	187	155
548	188	154
549	188	154
550	188	153
551	188	153
552	189	152
553	189	152
